Titles,30004,30005,30009,30022,30075,30076,30097,30213,30268,30291,30303,30305,30306,30308,30309,30310,30311,30312,30313,30314,30315,30318,30324,30327,30328,30331,30336,30337,30342,30344,30349,30350,30354
One Bedroom,,,,,,,,,,,,247.326732673267,,323.687634408602,327.011874259581,,,300.820793433653,,,,,213.69230769231,,233.67525590985,,,,,,,,
Two Bedrooms,223.851294903926,,,,197.978096040438,,,,,,,289.566785071763,335.213032581454,324.166666666667,321.646034762197,,136.868686868687,268.909772060797,,,89.285714285714,204.545454545455,207.46887966805,184.23076923077,154.641693811075,103.42829014228,,,230.880041920553,136.202826832617,88.3503401360544,137.125380729748,
Three Bedrooms,169.728950150418,203.004212091179,216.961439588689,165.659215328467,189.754960332227,171.733409610984,146.27219694527,103.942186612676,98.087259306804,83.7349397590361,,339.761248852158,377.477857444116,,437.097232504057,171.364153088291,130.505709624796,245.01300954033,,,,195.194139194139,268.250528541226,325.762952448545,210.329856124751,109.780297661233,,163.66612111293,244.802112361558,140.35136990576,100.46969165418,150.125104253545,92.857142857143
Four Bedrooms,168.592405063291,158.256880733945,194.116345241859,156.876049693462,178.091684434968,165.111478117258,150.003629826363,90.3550469869946,,76.608981340792,,306.450463292944,373.003992015968,,,,,,,,,212.897840338413,257.810164424514,308.926368120704,208.597238091728,110.365853658537,,,260.774962742176,101.7849772653,96.5698443321352,186.066571851314,
Five or More Bedrooms,183.316357710328,166.556194232106,,179.007338677174,179.472798653954,,157.141975962634,85.8425896540781,,,,387.4732067739,,,,,,,,,,,,331.997903363078,227.588814559963,92.9843268489984,,,318.781441305729,,91.0740233563315,193.070156618751,
All Homes,175.844051446945,176.872669651323,215.59375,166.361224981915,184.08581492155,166.797590992406,151.234803420199,93.5894187197734,121.951219512195,81.0215763980625,,306.450463292944,353.767732241089,334.207077326343,335.285691860921,166.238839285714,131.604938271605,269.369612068965,214.577656675749,,,203.359461276149,235.849056603774,308.926368120704,201.708590412909,108.592425847458,,153.061224489796,249.782797567333,134.838524682677,96.9388888888889,165.489655172414,119.383923849815
Multi-Family Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Family Residence,175.919825503451,177.220863895681,212.151379567487,166.551514686099,184.381915602892,167.684582525706,150.972241533984,93.5894187197734,121.618725698127,88.0827329662041,,333.889816360601,377.211238293444,367.81202723147,328.133903133903,166.70879885953,135.863920899132,269.95946989192,,,,196.078431372549,269.068607708105,338.060791020067,221.105769230769,107.631100001891,,153.061224489796,271.505934096835,136.194690265487,98.0421438333569,181.652806652807,119.383923849815
Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
