Titles,30004,30005,30009,30022,30075,30076,30097,30213,30268,30291,30303,30305,30306,30308,30309,30310,30311,30312,30313,30314,30315,30318,30324,30327,30328,30331,30336,30337,30342,30344,30349,30350,30354
One Bedroom,1.51340056703119,1.4352941176471,2.05100574712644,1.50589622641509,,1.3592105263158,1.4711084949649,,,,,2.39144736842105,1.9375,2.12390670553936,2.53883495145631,,,2.10340731942692,,,,1.94367959949937,1.95843828715365,1.65230493651546,1.93181818181818,1.358552631579,,,1.82537834691502,,,1.33770205329838,
Two Bedrooms,1.28240503360098,1.3785834738617,1.53416461142887,1.29671210906175,,1.26625084745763,1.2202995383855,,,,,1.5724563515954,1.64257792988623,1.94239423942394,2.42610062893082,1.11979166666667,,1.93526860193527,,,1.22564102564103,1.5603925318339,1.59137379423156,1.41084558823529,1.69776119402985,1.12732919254658,,,1.244212962963,0.984567901234568,0.903225806451613,1.09626193753086,
Three Bedrooms,1.03035021126923,1.17157600448326,1.22262773722628,1.15236875800256,1.1615200621093,1.08489849485501,1.19828815977175,0.874737578726382,,0.763383518878586,,,1.6923807803046,,2.55829903978052,1.00076982294072,0.95,1.76470588235294,,,1.11531986531987,1.34114583333333,1.39043919952508,1.5315013404826,1.33689839572193,0.963285336262683,,,1.38348465196714,0.896603396603397,0.868184541641702,1.0156658496732,
Four Bedrooms,0.86077844311377,,,0.851851851851852,,,0.840823298234728,,,,,,,,,,,,,,,,,,,,,,,,0.726042313769664,,
Five or More Bedrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Homes,0.946453734147487,0.92598828764786,1.16382872240133,0.962081753571161,1.02222222222222,1.0437416998672,0.840823298234728,0.794117647058823,,0.760025873221216,,1.85745784695201,1.97024320992267,1.96596244131455,2.0817843866171,1.03599585620493,0.920846394984326,1.71641791044776,,1.14966555183946,1.13588577108342,1.33333333333333,1.47523709167545,1.71128898702733,1.28833687421692,0.938521241830065,,,1.52705061082024,0.961538461538462,0.817948717948718,1.06044777826369,0.995
Multi-Family Residence,1.33730522456462,1.4881956155143,1.98569867110947,1.37459978655283,,1.4406976744186,1.3352318958503,,,,,2.49338413667738,1.77480853391685,2.08243443869067,2.52993587123214,1.0182603686636,,2.07692307692308,,,,1.82024663661312,1.78035888812234,1.52123075012419,1.82222222222222,1.13664596273292,,,1.72163588390501,,0.882777276825969,1.17025782262544,
Single-Family Residence,0.938908362543816,0.918522288032972,1.17955489709814,0.950555272625717,1.00471757256598,1.05363827695068,0.842318059299191,0.794117647058823,,0.763383518878586,,1.82915006728137,1.97024320992267,,2.3610062893082,1.03599585620493,0.932835820895522,1.61074356645861,,1.08074848492469,1.12704918032787,1.32984930640496,1.53944836433611,,1.18670886075949,0.93410677352637,,,1.47706422018349,0.981308411214953,0.824652777777778,0.998402555910543,1.0012488284911
Studio,,,,,,,,,,,,2.72702331961591,,2.2608024691358,2.89386169275791,,,2.50684498130572,,,,2.14602876797999,,,2.0695364238411,,,,,,,,
